,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
422,Splice,2009,5.8,66,"100,600",R,"['Horror', ' Sci-Fi']",104,$17.00M
423,Finch,2021,6.9,57,"92,045",PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,-
424,Dawn of the Planet of the Apes,2014,7.6,79,"457,591",PG-13,"['Action', ' Adventure', ' Drama']",130,$208.55M
425,Samaritan,2022,5.7,45,"52,527",PG-13,"['Action', ' Drama', ' Fantasy']",102,-
426,Ghost in the Shell,1995,7.9,76,"151,726",TV-MA,"['Animation', ' Action', ' Crime']",83,$0.52M
427,Flash Gordon,1980,6.5,58,"59,931",PG,"['Action', ' Adventure', ' Sci-Fi']",111,-
428,Minions,2015,6.4,56,"251,863",PG,"['Animation', ' Adventure', ' Comedy']",91,$336.05M
429,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.7,38,"40,980",PG,"['Action', ' Adventure', ' Comedy']",93,$39.18M
430,Godzilla: King of the Monsters,2019,6.0,48,"195,241",PG-13,"['Action', ' Adventure', ' Fantasy']",132,$110.50M
431,Barbarella,1968,5.8,51,"36,814",Approved,"['Adventure', ' Comedy', ' Fantasy']",98,-
432,The Silence,2019,5.3,25,"49,199",PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,-
433,War for the Planet of the Apes,2017,7.4,82,"272,062",PG-13,"['Action', ' Adventure', ' Drama']",140,$146.88M
434,Knowing,2009,6.2,41,"243,411",PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,$79.96M
435,It Comes at Night,2017,6.2,78,"99,574",R,"['Drama', ' Horror', ' Mystery']",91,$13.99M
436,High Life,2018,5.8,78,"39,156",R,"['Adventure', ' Drama', ' Horror']",113,$1.23M
437,The New Mutants,2020,5.3,43,"86,351",PG-13,"['Action', ' Horror', ' Mystery']",94,$23.86M
438,Escape Room: Tournament of Champions,2021,5.7,48,"56,226",PG-13,"['Action', ' Adventure', ' Horror']",88,$25.19M
439,Primer,2004,6.7,68,"111,755",PG-13,"['Drama', ' Sci-Fi', ' Thriller']",77,$0.42M
440,The Island of Dr. Moreau,1996,4.5,37,"34,855",PG-13,"['Horror', ' Sci-Fi', ' Thriller']",96,$27.66M
441,The Wraith,1986,5.9,39,"18,413",PG-13,"['Action', ' Horror', ' Romance']",93,$3.50M
442,What Happened to Monday,2017,6.8,47,"130,727",TV-MA,"['Action', ' Crime', ' Fantasy']",123,-
443,Paul,2011,6.9,57,"262,237",R,"['Adventure', ' Comedy', ' Sci-Fi']",104,$37.41M
444,Lightyear,2022,6.1,60,"118,726",PG,"['Animation', ' Action', ' Adventure']",105,$118.31M
445,The Lego Movie 2: The Second Part,2019,6.6,65,"74,030",PG,"['Animation', ' Action', ' Adventure']",107,$105.81M
446,Minions: The Rise of Gru,2022,6.5,56,"79,141",PG,"['Animation', ' Adventure', ' Comedy']",87,$369.70M
